student_id,full_name,email,dob,hometown,math,literature,english,source_file,error_log,avg_score,rank
SV001,Van C Unknown,unknown.vanc.1@gmail.com,2005-08-03,Unknown,9.7,0.1,0.0,students_202601192028.txt,,3.27,Yếu
SV002,Thi D Dang,fake_email_2@not-exist-domain.com,2004-06-17,Unknown,7.6,0.3,2.6,students_202601192028.txt,,3.5,Yếu
SV003,Van C Le,le.vanc.3@gmail.com,2007-05-20,N/A,0.9,8.6,3.9,students_202601192028.txt,,4.47,Yếu
SV004,Ngoc F Hoang,fake_email_4@not-exist-domain.com,2006-04-10,Ha Noi,9.5,4.4,0.0,students_202601192028.txt,,4.63,Yếu
SV005,Thi D Bui,fake_email_5@not-exist-domain.com,2007-10-29,Unknown,3.5,5.3,0.0,students_202601192028.txt,,2.93,Yếu
SV006,Van C Hoang,hoang.vanc.6@gmail.com,2005-06-13,N/A,1.4,9.0,0.0,students_202601192028.txt,,3.47,Yếu
SV007,Van C Unknown,unknown.vanc.7@gmail.com,2007-07-21,Da Nang,7.7,1.6,9.8,students_202601192028.txt,,6.37,Trung Bình
SV008,Van A Vu,vu.vana.8@gmail.com,2007-01-23,Can Tho,3.6,2.3,4.7,students_202601192028.txt,,3.53,Yếu
SV009,Van C Vu,vu.vanc.9@gmail.com,2004-02-03,Can Tho,6.4,7.6,7.3,students_202601192028.txt,,7.1,Khá
SV010,Ngoc F Hoang,hoang.ngocf.10@gmail.com,2002-05-11,Unknown,3.3,9.3,4.0,students_202601192028.txt,,5.53,Trung Bình
SV011,Minh E Pham,pham.minhe.11@gmail.com,2004-06-13,Tp.Hcm,9.3,2.8,0.6,students_202601192028.txt,,4.23,Yếu
SV012,Thi B Bui,fake_email_12@not-exist-domain.com,2004-01-31,Unknown,4.7,7.7,3.3,students_202601192028.txt,,5.23,Trung Bình
SV013,Ngoc F Vu,vu.ngocf.13@gmail.com,2005-06-02,Hai Phong,2.5,4.4,1.7,students_202601192028.txt,,2.87,Yếu
SV014,Thi B Hoang,hoang.thib.14@gmail.com,2005-03-26,Tp.Hcm,5.5,8.7,8.9,students_202601192028.txt,,7.7,Khá
SV015,Tuan G Bui,bui.tuang.15@gmail.com,2002-04-30,Da Nang,8.8,0.1,4.7,students_202601192028.txt,,4.53,Yếu
SV016,Thi B Vu,vu.thib.16@gmail.com,2004-03-18,Tp.Hcm,3.1,9.4,5.2,students_202601192028.txt,,5.9,Trung Bình
SV017,Thi B Pham,pham.thib.17@gmail.com,2000-05-10,Tp.Hcm,5.0,1.0,1.5,students_202601192028.txt,,2.5,Yếu
SV018,Van C Pham,pham.vanc.18@gmail.com,2002-08-07,Thanh Hoa,8.3,2.7,5.1,students_202601192028.txt,,5.37,Trung Bình
SV019,Thi D Pham,pham.thid.19@gmail.com,2007-12-04,Hai Phong,4.4,8.3,3.7,students_202601192028.txt,,5.47,Trung Bình
SV020,Tuan G Pham,pham.tuang.20@gmail.com,2005-10-29,Thanh Hoa,1.3,8.5,1.9,students_202601192028.txt,,3.9,Yếu
SV021,Van A Le,fake_email_21@not-exist-domain.com,2003-06-01,Nghe An,5.3,7.2,0.0,students_202601192028.txt,,4.17,Yếu
SV022,Tuan G Pham,pham.tuang.22@gmail.com,2000-07-29,Nghe An,9.2,8.4,1.3,students_202601192028.txt,,6.3,Trung Bình
SV023,Thi D Unknown,fake_email_23@not-exist-domain.com,2006-09-08,N/A,9.7,1.2,9.0,students_202601192028.txt,,6.63,Khá
SV024,Ngoc F Unknown,unknown.ngocf.24@gmail.com,2000-01-23,Ha Noi,5.8,5.8,0.0,students_202601192028.txt,,3.87,Yếu
