id,student_id,first_name,last_name,email,birth_date,hometown,math,literature,english,created_at,updated_at,avg_score,rank
2,SV002,Cao,Thi AB,cao002@student.edu.vn,2002-06-13,Tuyen Quang,7.09,5.49,7.79,2026-01-06 14:21:42,2026-01-06 14:21:42,6.79,Khá
3,SV003,Ta,Thi H,ta003@student.edu.vn,2005-07-05,Tien Giang,9.7,9.87,7.86,2026-01-06 14:21:42,2026-01-06 14:21:42,9.143333333333333,Giỏi
4,SV004,Ly,Thi AL,ly004@student.edu.vn,2004-10-14,Phu Quoc,7.71,4.44,7.28,2026-01-06 14:21:42,2026-01-06 14:21:42,6.476666666666667,Trung bình
5,SV005,Nguyen,Thi T,nguyen005@student.edu.vn,2002-07-14,Dong Thap,8.26,5.45,4.72,2026-01-06 14:21:42,2026-01-06 14:21:42,6.1433333333333335,Trung bình
6,SV006,Kieu,Van P,kieu006@student.edu.vn,2004-05-27,Tra Vinh,4.18,9.26,4.0,2026-01-06 14:21:42,2026-01-06 14:21:42,5.813333333333333,Trung bình
7,SV007,Vo,Van AI,vo007@student.edu.vn,2007-12-30,Ha Tinh,6.43,8.49,7.3,2026-01-06 14:21:42,2026-01-06 14:21:42,7.406666666666666,Khá
8,SV008,Kieu,Thi H,kieu008@student.edu.vn,2003-03-18,Can Tho,7.89,4.46,5.82,2026-01-06 14:21:42,2026-01-06 14:21:42,6.0566666666666675,Trung bình
9,SV009,Ta,Thi AL,ta009@student.edu.vn,2005-12-23,Ben Tre,7.29,8.13,4.07,2026-01-06 14:21:42,2026-01-06 14:21:42,6.496666666666667,Trung bình
10,SV010,Vu,Thi AL,vu010@student.edu.vn,2005-01-07,Tuyen Quang,5.29,9.72,4.71,2026-01-06 14:21:42,2026-01-06 14:21:42,6.573333333333334,Khá
11,SV011,Dang,Van B,dang011@student.edu.vn,2007-11-08,Thua Thien Hue,4.16,9.5,9.95,2026-01-06 14:21:42,2026-01-06 14:21:42,7.87,Khá
12,SV012,Thai,Thi AR,thai012@student.edu.vn,2002-06-09,Ha Tinh,6.04,5.9,6.58,2026-01-06 14:21:42,2026-01-06 14:21:42,6.173333333333335,Trung bình
13,SV013,Ly,Thi AZ,ly013@student.edu.vn,2005-01-21,Bac Lieu,9.51,8.63,4.05,2026-01-06 14:21:42,2026-01-06 14:21:42,7.396666666666667,Khá
14,SV014,Cao,Van E,cao014@student.edu.vn,2003-01-18,TP. Ho Chi Minh,8.31,6.81,7.36,2026-01-06 14:21:42,2026-01-06 14:21:42,7.493333333333333,Khá
15,SV015,Vo,Van AM,vo015@student.edu.vn,2006-07-26,Thanh Hoa,8.76,7.08,9.0,2026-01-06 14:21:42,2026-01-06 14:21:42,8.28,Giỏi
16,SV016,Nguyen,Thi K,nguyen016@student.edu.vn,2005-01-28,Quang Ngai,7.72,7.98,8.45,2026-01-06 14:21:42,2026-01-06 14:21:42,8.049999999999999,Giỏi
17,SV017,Hoang,Van B,hoang017@student.edu.vn,2005-06-14,Yen Bai,6.27,9.29,9.18,2026-01-06 14:21:42,2026-01-06 14:21:42,8.246666666666666,Giỏi
18,SV018,Vo,Thi Z,vo018@student.edu.vn,2003-01-27,An Giang,8.57,7.48,6.32,2026-01-06 14:21:42,2026-01-06 14:21:42,7.456666666666667,Khá
19,SV019,To,Thi AN,to019@student.edu.vn,2006-07-17,Phu Quoc,9.76,7.07,6.76,2026-01-06 14:21:42,2026-01-06 14:21:42,7.863333333333332,Khá
20,SV020,Vo,Van A,vo020@student.edu.vn,2006-10-27,Son La,5.23,4.05,3.31,2026-01-06 14:21:42,2026-01-06 14:21:42,4.196666666666667,Yếu
21,SV021,Ly,Thi H,ly021@student.edu.vn,2007-11-01,Binh Dinh,7.09,6.88,4.77,2026-01-06 14:21:42,2026-01-06 14:21:42,6.246666666666666,Trung bình
22,SV022,Vu,Thi AJ,vu022@student.edu.vn,2005-02-18,Binh Thuan,9.82,9.09,4.96,2026-01-06 14:21:42,2026-01-06 14:21:42,7.956666666666667,Khá
23,SV023,Pham,Van Y,pham023@student.edu.vn,2005-09-23,Kien Giang,3.46,3.4,9.4,2026-01-06 14:21:42,2026-01-06 14:21:42,5.419999999999999,Trung bình
24,SV024,To,Van N,to024@student.edu.vn,2005-02-03,Tuyen Quang,3.42,6.04,3.54,2026-01-06 14:21:42,2026-01-06 14:21:42,4.333333333333333,Yếu
25,SV025,Bui,Van AM,bui025@student.edu.vn,2005-06-17,Quang Ngai,7.7,8.31,9.08,2026-01-06 14:21:42,2026-01-06 14:21:42,8.363333333333335,Giỏi
26,SV026,Pham,Van AI,pham026@student.edu.vn,2003-10-20,Da Nang,8.13,6.01,9.22,2026-01-06 14:21:42,2026-01-06 14:21:42,7.786666666666666,Khá
27,SV027,To,Van AI,to027@student.edu.vn,2006-10-09,Hai Phong,6.92,7.76,8.11,2026-01-06 14:21:42,2026-01-06 14:21:42,7.596666666666667,Khá
28,SV028,Tran,Thi AJ,tran028@student.edu.vn,2003-07-21,Lang Son,6.08,8.75,8.06,2026-01-06 14:21:42,2026-01-06 14:21:42,7.63,Khá
29,SV029,Ly,Van Y,ly029@student.edu.vn,2002-12-23,Hue,5.1,5.31,7.44,2026-01-06 14:21:42,2026-01-06 14:21:42,5.95,Trung bình
30,SV030,Dang,Thi H,dang030@student.edu.vn,2005-04-04,Ha Noi,4.66,4.91,5.3,2026-01-06 14:21:42,2026-01-06 14:21:42,4.956666666666667,Yếu
31,SV031,Kieu,Thi AZ,kieu031@student.edu.vn,2005-07-23,Long An,4.2,4.99,4.71,2026-01-06 14:21:42,2026-01-06 14:21:42,4.633333333333334,Yếu
32,SV032,Ly,Thi AH,ly032@student.edu.vn,2005-05-25,Khanh Hoa,6.06,5.1,8.29,2026-01-06 14:21:42,2026-01-06 14:21:42,6.483333333333333,Trung bình
33,SV033,Tran,Van AM,tran033@student.edu.vn,2006-04-27,Quang Tri,5.94,4.64,9.37,2026-01-06 14:21:42,2026-01-06 14:21:42,6.6499999999999995,Khá
34,SV034,Dang,Thi AX,dang034@student.edu.vn,2001-06-15,Ninh Thuan,7.56,8.59,8.62,2026-01-06 14:21:42,2026-01-06 14:21:42,8.256666666666666,Giỏi
35,SV035,Tran,Thi H,tran035@student.edu.vn,2001-03-06,Ca Mau,6.5,4.83,8.88,2026-01-06 14:21:42,2026-01-06 14:21:42,6.736666666666667,Khá
36,SV036,Dinh,Van Q,dinh036@student.edu.vn,2001-01-30,Hue,3.85,9.98,7.29,2026-01-06 14:21:42,2026-01-06 14:21:42,7.04,Khá
37,SV037,Kieu,Van AA,kieu037@student.edu.vn,2003-07-11,Thai Nguyen,3.03,8.49,4.47,2026-01-06 14:21:42,2026-01-06 14:21:42,5.329999999999999,Trung bình
38,SV038,Dang,Thi T,dang038@student.edu.vn,2005-05-05,Nha Trang,3.37,4.8,4.74,2026-01-06 14:21:42,2026-01-06 14:21:42,4.303333333333334,Yếu
39,SV039,Thai,Thi AT,thai039@student.edu.vn,2005-12-02,Binh Dinh,9.52,5.03,3.79,2026-01-06 14:21:42,2026-01-06 14:21:42,6.113333333333333,Trung bình
40,SV040,Dang,Van AC,dang040@student.edu.vn,2003-12-23,Ba Ria Vung Tau,7.45,9.34,9.68,2026-01-06 14:21:42,2026-01-06 14:21:42,8.823333333333332,Giỏi
41,SV041,Pham,Van Q,pham041@student.edu.vn,2001-07-21,Tra Vinh,7.75,4.3,7.39,2026-01-06 14:21:42,2026-01-06 14:21:42,6.48,Trung bình
42,SV042,Vu,Thi AB,vu042@student.edu.vn,2006-07-10,Son La,8.02,6.48,9.33,2026-01-06 14:21:42,2026-01-06 14:21:42,7.9433333333333325,Khá
43,SV043,Hoang,Van AU,hoang043@student.edu.vn,2006-01-31,Quang Nam,8.77,8.3,8.59,2026-01-06 14:21:42,2026-01-06 14:21:42,8.553333333333333,Giỏi
44,SV044,Vo,Van B,vo044@student.edu.vn,2005-11-25,Vinh,8.04,7.58,8.13,2026-01-06 14:21:42,2026-01-06 14:21:42,7.916666666666667,Khá
45,SV045,Hoang,Van J,hoang045@student.edu.vn,2005-11-07,Ba Ria Vung Tau,9.57,3.07,7.5,2026-01-06 14:21:42,2026-01-06 14:21:42,6.713333333333334,Khá
46,SV046,Tran,Van AY,tran046@student.edu.vn,2003-10-07,Hue,7.11,4.89,5.98,2026-01-06 14:21:42,2026-01-06 14:21:42,5.993333333333333,Trung bình
47,SV047,Ly,Thi AL,ly047@student.edu.vn,2007-06-09,Tra Vinh,6.92,3.96,4.85,2026-01-06 14:21:42,2026-01-06 14:21:42,5.243333333333333,Trung bình
48,SV048,Nguyen,Van AS,nguyen048@student.edu.vn,2007-05-09,Ha Noi,8.34,7.59,5.46,2026-01-06 14:21:42,2026-01-06 14:21:42,7.13,Khá
49,SV049,Nguyen,Van AK,nguyen049@student.edu.vn,2003-12-24,Ben Tre,5.75,5.37,9.52,2026-01-06 14:21:42,2026-01-06 14:21:42,6.88,Khá
50,SV050,Bui,Van N,bui050@student.edu.vn,2006-12-27,Ca Mau,5.35,8.27,7.65,2026-01-06 14:21:42,2026-01-06 14:21:42,7.09,Khá
51,SV051,Kieu,Thi AH,kieu051@student.edu.vn,2004-08-13,An Giang,5.71,9.25,5.03,2026-01-06 14:21:42,2026-01-06 14:21:42,6.663333333333334,Khá
52,SV052,Vu,Thi AN,vu052@student.edu.vn,2004-06-24,Vinh,7.84,6.38,5.44,2026-01-06 14:21:42,2026-01-06 14:21:42,6.553333333333334,Khá
53,SV053,Pham,Van E,pham053@student.edu.vn,2004-09-04,Nha Trang,5.32,9.72,7.0,2026-01-06 14:21:42,2026-01-06 14:21:42,7.346666666666667,Khá
54,SV054,Pham,Thi AJ,pham054@student.edu.vn,2004-04-13,Tuyen Quang,8.03,9.62,7.24,2026-01-06 14:21:42,2026-01-06 14:21:42,8.296666666666667,Giỏi
55,SV055,To,Van AO,to055@student.edu.vn,2002-03-29,Dong Nai,4.39,5.8,3.79,2026-01-06 14:21:42,2026-01-06 14:21:42,4.66,Yếu
56,SV056,To,Thi V,to056@student.edu.vn,2001-04-12,Phu Quoc,8.75,5.04,7.29,2026-01-06 14:21:42,2026-01-06 14:21:42,7.026666666666666,Khá
57,SV057,Ly,Thi T,ly057@student.edu.vn,2005-04-14,Bac Giang,5.49,7.12,9.03,2026-01-06 14:21:42,2026-01-06 14:21:42,7.213333333333334,Khá
58,SV058,To,Van AC,to058@student.edu.vn,2001-11-19,Kien Giang,9.6,4.9,8.8,2026-01-06 14:21:42,2026-01-06 14:21:42,7.766666666666667,Khá
59,SV059,Pham,Van E,pham059@student.edu.vn,2002-12-21,Thua Thien Hue,6.39,5.0,3.71,2026-01-06 14:21:42,2026-01-06 14:21:42,5.033333333333334,Trung bình
60,SV060,Ta,Thi T,ta060@student.edu.vn,2005-06-02,An Giang,9.82,5.7,8.02,2026-01-06 14:21:42,2026-01-06 14:21:42,7.846666666666667,Khá
61,SV061,Vu,Van L,vu061@student.edu.vn,2007-01-08,Quang Ninh,6.9,3.94,8.53,2026-01-06 14:21:42,2026-01-06 14:21:42,6.456666666666666,Trung bình
62,SV062,Vu,Thi H,vu062@student.edu.vn,2004-01-16,Ca Mau,5.97,6.26,4.16,2026-01-06 14:21:42,2026-01-06 14:21:42,5.463333333333334,Trung bình
63,SV063,Thai,Thi AD,thai063@student.edu.vn,2005-05-30,Ba Ria Vung Tau,6.06,5.47,6.74,2026-01-06 14:21:42,2026-01-06 14:21:42,6.09,Trung bình
64,SV064,Bui,Van Y,bui064@student.edu.vn,2003-09-23,Binh Thuan,5.49,7.55,5.55,2026-01-06 14:21:42,2026-01-06 14:21:42,6.196666666666666,Trung bình
65,SV065,Cao,Thi AF,cao065@student.edu.vn,2006-09-21,Tuyen Quang,5.81,8.91,9.03,2026-01-06 14:21:42,2026-01-06 14:21:42,7.916666666666667,Khá
66,SV066,Dinh,Thi AF,dinh066@student.edu.vn,2002-05-28,Tien Giang,8.27,7.59,6.67,2026-01-06 14:21:42,2026-01-06 14:21:42,7.510000000000001,Khá
67,SV067,Ta,Van AM,ta067@student.edu.vn,2002-12-27,Bac Giang,3.12,6.21,6.22,2026-01-06 14:21:42,2026-01-06 14:21:42,5.183333333333334,Trung bình
68,SV068,Vo,Thi AJ,vo068@student.edu.vn,2006-01-10,Son La,9.11,9.03,6.17,2026-01-06 14:21:42,2026-01-06 14:21:42,8.103333333333333,Giỏi
69,SV069,Hoang,Thi AP,hoang069@student.edu.vn,2007-12-12,Quang Nam,3.14,6.82,7.67,2026-01-06 14:21:42,2026-01-06 14:21:42,5.876666666666668,Trung bình
70,SV070,Vo,Thi AN,vo070@student.edu.vn,2002-08-11,Tra Vinh,7.72,7.93,7.4,2026-01-06 14:21:42,2026-01-06 14:21:42,7.683333333333333,Khá
